No.,구분,년월,주차,사번,이름,직급,사업장,부서명,월,화,수,목,금,토,일,주확정근무시간,평일확정근무시간,법정휴게시간,비업무_기타,비업무,비업무(중식)
20,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200019,박수아,책임연구원,서울2,해양SW1팀,764,307,650,442,366,0,0,2530,2530,229,0,29,300
21,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200020,정승우,수석연구원,구미,품질팀,435,780,701,791,404,0,0,3112,3112,287,0,26,300
22,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200021,박준서,책임연구원,구미,Smart Vessel사업팀,591,444,1038,457,480,0,0,3010,3010,289,0,71,300
23,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200022,장성민,S4(대리),구미,전략기획팀,382,798,441,776,504,0,0,2900,2900,286,0,102,300
24,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200023,구지민,S3(사원),거제,품질팀,403,358,570,353,555,208,0,2446,2238,285,0,64,300
25,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200024,임유진,S5(과장),거제,경영지원팀,643,416,637,404,789,0,0,2890,2890,305,0,32,300
26,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200025,안민재,S5(과장),서울2,해양SW1팀,392,799,587,484,593,217,0,3071,2854,234,0,71,300
27,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200026,서민준,S5(과장),거제,해양SW1팀,566,680,668,603,458,0,0,2975,2975,277,0,49,300
28,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200027,오성민,책임연구원,판교,구매팀,436,514,739,480,541,0,0,2710,2710,181,0,52,300
29,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200028,한나윤,책임연구원,구미,소나개발팀,502,820,395,527,505,0,0,2749,2749,269,0,133,300
30,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200029,류시우,S5(과장),거제,Smart Vessel사업팀,644,758,505,307,335,0,0,2549,2549,305,0,91,300
31,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200030,권우진,S3(사원),구미,R&D 1팀,707,718,562,723,395,0,0,3104,3104,237,0,112,300
32,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200031,조예린,S6(차장),거제,Smart Vessel사업팀,617,818,514,410,668,0,0,3026,3026,212,0,89,300
33,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200032,권준서,S3(사원),서울2,R&D 1팀,433,622,409,762,485,0,0,2711,2711,289,0,20,300
34,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200033,조지민,S5(과장),구미,소나개발팀,433,703,931,569,376,0,0,3011,3011,278,0,122,300
35,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200034,송민재,S3(사원),구미,해양SW1팀,430,773,399,706,667,0,0,2975,2975,240,0,86,300
36,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200035,강건우,수석연구원,구미,구매팀,397,507,612,740,800,0,0,3056,3056,187,0,32,300
37,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200036,한하람,S5(과장),구미,구매팀,488,505,532,761,587,0,0,2872,2872,244,0,50,300
38,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200037,최다은,S5(과장),판교,R&D 1팀,510,521,442,586,541,262,0,2862,2600,218,0,79,300
39,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200038,신예린,S4(대리),판교,Smart Vessel사업팀,612,660,565,539,566,0,0,2942,2942,234,0,176,300
40,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200039,송다은,선임연구원,판교,품질팀,481,586,600,914,506,0,0,3086,3086,238,0,58,300
41,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200040,류현우,S3(사원),거제,기구설계팀,524,356,433,486,442,250,0,2492,2242,281,0,126,300
42,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200041,최서윤,S6(차장),구미,R&D 1팀,558,553,473,436,643,0,130,2793,2663,197,0,125,300
43,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200042,홍재현,S3(사원),판교,소나개발팀,586,751,644,326,708,0,0,3015,3015,238,0,150,300
44,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200043,임동현,S5(과장),거제,기구설계팀,563,433,514,686,622,0,0,2818,2818,311,0,175,300
45,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200044,장민재,S3(사원),구미,기구설계팀,393,587,482,802,673,183,0,3120,2937,263,0,151,300
46,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200045,임소율,선임연구원,구미,소나개발팀,347,846,442,565,764,92,0,3056,2964,310,0,99,300
47,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200046,한다인,S3(사원),거제,R&D 1팀,707,752,381,636,469,0,0,2945,2945,289,0,50,300
48,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200047,한다은,S6(차장),구미,전략기획팀,304,781,740,336,764,166,0,3090,2924,187,0,79,300
49,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200048,배가은,S6(차장),서울2,구매팀,449,689,528,651,313,0,0,2631,2631,213,0,77,300
50,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200049,이서윤,수석연구원,구미,기구설계팀,710,439,668,607,287,217,79,3008,2713,202,0,167,300
51,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200050,최나윤,수석연구원,판교,기구설계팀,511,350,356,643,741,265,0,2866,2601,205,0,64,300
52,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200051,송윤서,S7(부장),거제,품질팀,711,794,432,673,477,0,32,3119,3087,278,0,109,300
53,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200052,강소율,S3(사원),판교,소나개발팀,393,613,713,635,512,0,45,2911,2866,185,0,133,300
54,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200053,김서윤,S3(사원),거제,해양SW1팀,380,806,527,459,504,84,0,2761,2677,253,0,170,300
55,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200054,윤민재,S6(차장),거제,품질팀,398,735,714,765,398,0,0,3010,3010,311,0,68,300
56,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200055,배은서,S6(차장),구미,해양SW1팀,668,412,875,506,358,191,0,3010,2819,304,0,135,300
57,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200056,장하람,수석연구원,구미,해양SW1팀,605,436,560,592,746,0,0,2939,2939,200,0,166,300
58,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200057,강도윤,S5(과장),구미,품질팀,541,538,859,748,364,0,71,3120,3049,195,0,34,300
59,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200058,홍동현,S6(차장),판교,R&D 1팀,669,507,438,647,859,0,0,3119,3119,193,0,34,300
60,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200059,황하은,S3(사원),거제,소나개발팀,620,725,467,395,700,0,0,2907,2907,266,0,145,300
61,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200060,구가은,선임연구원,판교,R&D 1팀,512,779,752,706,370,0,0,3120,3120,203,0,61,300
62,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200061,한준서,책임연구원,거제,해양SW2팀,553,455,393,715,593,0,132,2841,2709,242,0,179,300
63,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200062,황나윤,S4(대리),거제,경영지원팀,505,612,484,634,816,0,68,3119,3051,311,0,25,300
64,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200063,오민재,S3(사원),구미,구매팀,499,533,821,710,337,0,0,2900,2900,277,0,176,300
65,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200064,송건우,전문연구원,구미,해양SW1팀,508,661,715,412,482,0,0,2779,2779,211,0,153,300
66,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200065,송다은,S3(사원),서울2,Smart Vessel사업팀,388,576,770,329,710,250,0,3023,2773,234,0,167,300
67,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200066,서태윤,전문연구원,구미,전략기획팀,336,657,476,602,569,0,0,2641,2641,208,0,155,300
68,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200067,안재현,S5(과장),판교,R&D 1팀,831,413,595,409,850,0,0,3098,3098,260,0,157,300
69,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200068,임도윤,S3(사원),구미,구매팀,335,520,509,454,581,0,0,2400,2400,286,0,170,300
70,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200069,임현우,S7(부장),구미,해양SW2팀,450,746,419,553,764,0,0,2931,2931,194,0,118,300
71,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200070,전하람,S4(대리),구미,구매팀,305,621,656,284,611,0,0,2477,2477,275,0,34,300
72,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200071,강서연,책임연구원,판교,품질팀,435,676,521,418,615,214,204,3083,2666,235,0,121,300
73,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200072,최민준,S3(사원),구미,R&D 1팀,656,602,797,612,409,0,0,3076,3076,240,0,174,300
74,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200073,송하윤,전문연구원,구미,Smart Vessel사업팀,620,487,693,674,300,0,0,2775,2775,221,0,93,300
75,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200074,황재현,S6(차장),구미,해양SW2팀,802,476,439,716,605,0,0,3039,3039,262,0,32,300
76,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200075,홍소율,수석연구원,구미,Smart Vessel사업팀,680,387,432,642,399,138,0,2678,2540,218,0,20,300
77,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200076,윤성민,S4(대리),구미,경영지원팀,370,646,474,574,746,0,200,3010,2810,282,0,35,300
78,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200077,박지훈,S7(부장),서울2,경영지원팀,544,410,473,839,643,0,0,2909,2909,280,0,20,300
79,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200078,장우진,전문연구원,판교,Smart Vessel사업팀,394,421,534,751,548,0,0,2648,2648,308,0,104,300
80,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200079,한시온,S3(사원),거제,구매팀,727,771,416,334,497,156,165,3067,2746,248,0,155,300
81,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200080,윤성민,S5(과장),구미,해양SW1팀,321,515,488,529,548,235,0,2636,2401,220,0,127,300
82,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200081,조하윤,S7(부장),거제,품질팀,577,482,605,717,652,88,0,3121,3033,182,1,28,300
83,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200082,신수아,S5(과장),거제,전략기획팀,466,759,354,724,568,0,154,3024,2870,212,0,103,300
84,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200083,장하윤,S4(대리),구미,Smart Vessel사업팀,380,673,352,688,539,0,0,2632,2632,242,0,166,300
85,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200084,송소율,S5(과장),구미,기구설계팀,622,388,766,602,446,0,0,2823,2823,243,0,77,300
86,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200085,서서연,S4(대리),거제,전략기획팀,740,635,839,451,393,61,0,3119,3059,207,0,29,300
87,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200086,최시온,S5(과장),거제,품질팀,601,646,587,367,608,214,0,3023,2809,273,0,74,300
88,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200087,오윤서,수석연구원,거제,R&D 1팀,846,655,436,431,479,210,0,3057,2847,269,0,96,300
89,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200088,장건우,S3(사원),판교,구매팀,732,692,550,560,541,0,0,3076,3076,275,0,119,300
90,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200089,황하람,S3(사원),거제,전략기획팀,745,704,460,556,656,0,0,3121,3121,184,1,105,300
91,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200090,배수아,S4(대리),판교,소나개발팀,643,577,606,526,597,161,0,3109,2948,280,0,46,300
92,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200091,장가은,S4(대리),판교,해양SW2팀,653,814,590,388,643,0,0,3088,3088,278,0,101,300
93,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200092,최하윤,S3(사원),거제,해양SW2팀,721,397,847,493,519,100,0,3077,2977,238,0,123,300
94,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200093,전시우,S4(대리),서울2,해양SW2팀,489,460,439,662,649,0,0,2698,2698,283,0,100,300
95,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200094,배지민,S7(부장),거제,Smart Vessel사업팀,562,568,430,747,773,0,0,3079,3079,235,0,145,300
96,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200095,강우진,S3(사원),서울2,기구설계팀,673,453,725,627,467,0,0,2945,2945,230,0,34,300
97,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200096,한성민,선임연구원,거제,경영지원팀,428,427,713,673,659,113,49,3061,2899,280,0,127,300
98,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200097,장도윤,S4(대리),구미,경영지원팀,423,629,585,452,517,0,0,2605,2605,263,0,56,300
99,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200098,장다인,S6(차장),구미,해양SW1팀,463,532,785,916,425,0,0,3121,3121,302,1,176,300
100,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200099,임다은,S3(사원),거제,기구설계팀,421,595,638,416,382,230,0,2681,2452,251,0,163,300
101,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200100,배나윤,S6(차장),판교,구매팀,700,692,377,554,416,265,0,3005,2740,245,0,100,300
102,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200101,안동현,선임연구원,구미,전략기획팀,620,335,720,626,439,287,0,3026,2740,281,0,134,300
103,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200102,송예린,S5(과장),구미,품질팀,635,639,407,415,728,297,0,3121,2824,220,1,37,300
104,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200103,홍재현,S7(부장),거제,R&D 1팀,967,474,370,493,392,217,0,2913,2696,302,0,80,300
105,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200104,조서윤,책임연구원,구미,해양SW2팀,563,307,479,390,570,144,0,2453,2309,278,0,73,300
106,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200105,장시온,S5(과장),구미,R&D 1팀,415,713,613,674,341,0,0,2756,2756,245,0,137,300
107,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200106,송준서,S3(사원),구미,품질팀,700,702,724,585,384,0,0,3095,3095,251,0,107,300
108,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200107,정지민,S3(사원),판교,R&D 1팀,631,484,679,401,837,0,0,3032,3032,206,0,59,300
109,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200108,장나윤,전문연구원,구미,전략기획팀,719,498,514,389,793,0,0,2913,2913,289,0,103,300
110,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200109,구성민,책임연구원,구미,해양SW1팀,754,818,430,569,491,0,54,3116,3062,259,0,49,300
111,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200110,강하윤,S3(사원),구미,해양SW1팀,896,453,487,805,419,0,0,3060,3060,236,0,40,300
112,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200111,김나윤,S5(과장),거제,전략기획팀,515,686,445,620,778,0,0,3043,3043,221,0,169,300
113,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200112,권민재,S4(대리),판교,품질팀,749,294,367,581,754,161,0,2907,2746,185,0,129,300
114,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200113,이하람,S3(사원),구미,품질팀,767,770,425,573,519,0,0,3055,3055,293,0,58,300
115,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200114,한서연,S3(사원),구미,Smart Vessel사업팀,790,772,601,427,514,0,0,3104,3104,296,0,25,300
116,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200115,신서윤,S3(사원),판교,해양SW2팀,531,386,693,839,546,0,0,2995,2995,208,0,32,300
117,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200116,조가은,S3(사원),구미,해양SW1팀,416,673,385,506,460,160,0,2600,2440,184,0,27,300
118,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200117,오다은,S3(사원),판교,구매팀,700,640,505,523,266,0,0,2634,2634,252,0,124,300
119,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200118,전하람,선임연구원,서울2,경영지원팀,741,589,535,377,732,0,0,2973,2973,197,0,34,300
120,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200119,박성민,S3(사원),판교,해양SW2팀,587,862,755,336,327,150,0,3016,2866,220,0,155,300
121,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200120,강다은,S7(부장),판교,전략기획팀,697,569,591,400,796,0,65,3119,3053,296,0,38,300
122,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200121,김하윤,S6(차장),판교,해양SW2팀,628,554,392,463,719,142,190,3089,2756,279,0,27,300
123,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200122,서민준,S6(차장),구미,기구설계팀,572,439,568,586,536,0,0,2702,2702,308,0,119,300
124,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200123,황지민,S5(과장),판교,경영지원팀,420,673,287,661,523,140,0,2705,2565,214,0,166,300
125,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200124,권태윤,S3(사원),거제,해양SW1팀,406,743,500,526,599,211,0,2986,2775,289,0,170,300
126,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200125,한건우,S6(차장),구미,전략기획팀,406,587,897,499,531,0,0,2920,2920,241,0,125,300
127,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200126,송재현,선임연구원,거제,Smart Vessel사업팀,719,754,386,364,582,255,0,3059,2804,245,0,126,300
128,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200127,박승우,전문연구원,구미,기구설계팀,679,505,696,388,593,0,0,2861,2861,248,0,158,300
129,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200128,전하람,S6(차장),판교,구매팀,596,355,656,313,480,0,0,2399,2399,251,0,64,300
130,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200129,김재현,S5(과장),판교,해양SW1팀,591,337,652,572,603,175,0,2930,2755,188,0,47,300
131,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200130,김도윤,S5(과장),거제,해양SW1팀,551,521,639,674,367,0,0,2752,2752,187,0,80,300
132,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200131,최윤서,S7(부장),판교,Smart Vessel사업팀,489,475,554,558,1043,0,0,3119,3119,186,0,157,300
133,모성보호대상자,202606,2주차(06월 08일~06월 14일),00200132,한다인,S7(부장),서울2,기구설계팀,740,380,607,414,349,0,0,2490,2490,190,0,82,300
134,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200133,신도윤,S7(부장),구미,구매팀,363,610,768,491,653,152,0,3038,2886,311,0,50,300
135,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200134,최하람,S5(과장),구미,전략기획팀,835,342,583,505,422,0,0,2686,2686,232,0,42,300
136,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200135,조태윤,S6(차장),거제,경영지원팀,329,559,575,536,522,0,0,2522,2522,182,0,112,300
137,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200136,임채원,S7(부장),거제,R&D 1팀,711,478,325,812,564,229,0,3119,2890,199,0,113,300
138,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200137,류서연,수석연구원,구미,품질팀,478,501,520,440,715,0,151,2804,2653,197,0,106,300
139,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200138,최가은,S4(대리),구미,R&D 1팀,578,773,931,440,367,0,0,3089,3089,246,0,66,300
140,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200139,권은서,전문연구원,구미,전략기획팀,540,728,507,518,349,0,136,2777,2642,232,0,89,300
141,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200140,서민준,전문연구원,판교,Smart Vessel사업팀,303,623,485,646,663,218,0,2938,2720,271,0,34,300
142,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200141,안수아,S4(대리),구미,소나개발팀,511,458,628,598,866,0,0,3061,3061,260,0,74,300
143,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200142,조소율,책임연구원,구미,Smart Vessel사업팀,671,430,571,632,584,182,0,3071,2888,194,0,31,300
144,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200143,구다인,수석연구원,거제,R&D 1팀,835,400,353,375,841,251,0,3055,2804,207,0,140,300
145,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200144,조하람,전문연구원,거제,R&D 1팀,743,533,534,429,512,265,0,3017,2752,296,0,152,300
146,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200145,장다은,S3(사원),구미,Smart Vessel사업팀,546,605,700,467,466,192,0,2976,2784,218,0,88,300
147,"선택적 근로시간제,탄력적 근로시간제",202606,2주차(06월 08일~06월 14일),00200146,장지훈,S3(사원),거제,전략기획팀,449,457,299,471,578,146,0,2400,2254,287,0,67,300
148,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200147,류채원,수석연구원,구미,R&D 1팀,424,973,395,525,753,0,0,3070,3070,204,0,166,300
149,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200148,송은서,S5(과장),거제,소나개발팀,491,349,342,846,472,0,67,2566,2500,265,0,163,300
150,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200149,서유진,S5(과장),구미,해양SW2팀,466,637,362,653,631,0,170,2918,2748,219,0,143,300
151,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200150,강준서,S5(과장),구미,전략기획팀,288,436,673,674,306,218,0,2594,2376,183,0,173,300
152,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200151,권유진,S5(과장),구미,품질팀,442,434,728,507,800,0,62,2974,2912,185,0,84,300
153,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200152,류채원,S3(사원),판교,Smart Vessel사업팀,515,857,462,643,440,0,156,3074,2918,213,0,22,300
154,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200153,배동현,전문연구원,판교,경영지원팀,617,471,673,399,413,0,0,2573,2573,277,0,43,300
155,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200154,서유진,S3(사원),구미,R&D 1팀,641,769,512,349,788,0,0,3060,3060,262,0,53,300
156,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200155,안성민,선임연구원,거제,경영지원팀,399,427,489,713,847,0,50,2925,2875,287,0,36,300
157,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200156,윤소율,S3(사원),구미,전략기획팀,414,378,581,633,440,0,0,2447,2447,276,0,73,300
158,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200157,임민준,S4(대리),서울2,해양SW2팀,374,671,567,776,679,0,0,3068,3068,241,0,34,300
159,재량 근로시간제,202606,2주차(06월 08일~06월 14일),00200158,구다인,선임연구원,서울2,품질팀,634,756,517,351,758,92,0,3109,3017,265,0,113,300
160,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200159,전하람,S6(차장),거제,해양SW2팀,811,484,758,436,593,0,36,3118,3082,223,0,128,300
161,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200160,임하윤,S3(사원),구미,해양SW1팀,634,719,650,733,384,0,0,3120,3120,196,0,111,300
162,탄력적 근로시간제,202606,2주차(06월 08일~06월 14일),00200161,정태윤,S5(과장),구미,기구설계팀,550,647,789,508,362,0,0,2857,2857,205,0,159,300
163,선택적 근로시간제,202606,2주차(06월 08일~06월 14일),00200162,최우진,S6(차장),거제,소나개발팀,733,521,385,352,824,265,0,3080,2815,284,0,115,300
