순번,근무형태구분,연월,주차,사번,이름,직급,소속사업장,소속부서명,월,화,수,목,금,토,일,주확정근무시간,평일확정근무시간,법정휴게시간,비업무_기타,비업무,비업무_중식
33,일반,2026-06,6월 3주차,10033,윤준서,차장,판교R&D센터,Smart Vessel사업팀,8.5,9.9,9.6,10.2,9.9,0.0,0.0,48.1,48.1,3.8,0,2.6,1.0
34,일반,2026-06,6월 3주차,10034,류현우,사원,판교R&D센터,소나개발팀,9.8,10.0,9.5,9.9,9.1,0.0,0.0,48.3,48.3,3.6,0,2.9,1.0
35,일반,2026-06,6월 3주차,10035,홍하윤,사원,거제조선소,품질팀,8.3,8.4,7.7,9.0,8.9,0.0,0.0,42.3,42.3,4.2,0,4.6,1.0
36,근태예외자,2026-06,6월 3주차,10036,최도윤,부장,거제조선소,소나개발팀,9.1,9.5,10.4,9.7,9.3,0.0,0.0,48.0,48.0,4.1,0,2.9,1.0
37,탄력근무제,2026-06,6월 3주차,10037,오하윤,사원,성남사업장,품질팀,9.0,8.2,8.2,7.7,8.3,0.0,0.0,41.4,41.4,4.3,0,4.8,1.0
38,일반,2026-06,6월 3주차,10038,최승우,과장,판교R&D센터,소나개발팀,9.2,9.4,9.4,9.0,10.1,0.0,0.0,47.1,47.1,4.0,0,1.4,1.0
39,일반,2026-06,6월 3주차,10039,한재현,사원,거제조선소,해양SW1팀,9.7,9.2,10.4,9.0,9.5,1.8,0.0,49.6,47.8,4.1,0,4.7,1.0
40,탄력근무제,2026-06,6월 3주차,10040,박동현,대리,성남사업장,기구설계팀,8.9,7.9,8.8,8.1,8.3,0.0,0.0,42.0,42.0,4.4,0,2.8,1.0
41,일반,2026-06,6월 3주차,10041,권수아,사원,판교R&D센터,해양SW1팀,9.1,9.1,9.0,10.1,9.7,0.0,0.0,47.0,47.0,4.2,0,2.9,1.0
42,탄력근무제,2026-06,6월 3주차,10042,류수아,사원,거제조선소,해양SW1팀,8.7,9.2,8.9,9.0,8.7,0.0,0.0,44.5,44.5,4.0,0,2.0,1.0
43,일반,2026-06,6월 3주차,10043,윤윤서,대리,성남사업장,소나개발팀,8.9,10.0,8.9,9.6,9.5,0.0,0.0,46.9,46.9,4.6,0,3.0,1.0
44,일반,2026-06,6월 3주차,10044,윤서윤,차장,성남사업장,구매팀,7.9,8.2,8.9,8.5,8.6,0.0,0.0,42.1,42.1,3.6,0,4.5,1.0
45,일반,2026-06,6월 3주차,10045,한은서,사원,거제조선소,구매팀,8.6,8.3,9.4,8.2,8.0,0.0,0.0,42.5,42.5,4.7,0,4.2,1.0
46,탄력근무제,2026-06,6월 3주차,10046,최준서,차장,거제조선소,해양SW2팀,9.0,9.9,9.5,9.2,9.5,0.0,0.0,47.1,47.1,4.9,0,3.6,1.0
47,탄력근무제,2026-06,6월 3주차,10047,윤소율,사원,거제조선소,경영지원팀,6.9,7.2,9.1,8.5,8.0,0.0,0.0,39.7,39.7,4.8,0,4.8,1.0
48,일반,2026-06,6월 3주차,10048,홍건우,대리,성남사업장,Smart Vessel사업팀,9.9,10.1,10.0,10.3,9.6,0.0,0.0,49.9,49.9,4.2,0,3.1,1.0
49,근태예외자,2026-06,6월 3주차,10049,강현우,대리,거제조선소,소나개발팀,9.6,10.1,10.2,9.7,9.7,0.0,0.0,49.3,49.3,4.4,0,2.1,1.0
50,탄력근무제,2026-06,6월 3주차,10050,신나윤,사원,거제조선소,구매팀,8.6,8.2,8.1,8.9,8.2,0.0,0.0,42.0,42.0,4.1,0,4.0,1.0
51,일반,2026-06,6월 3주차,10051,김건우,차장,거제조선소,해양SW2팀,9.3,8.9,9.8,9.2,9.6,0.0,0.0,46.8,46.8,4.7,0,3.4,1.0
52,일반,2026-06,6월 3주차,10052,한나윤,과장,거제조선소,해양SW2팀,8.9,8.5,8.7,8.8,8.9,0.0,0.0,43.8,43.8,4.7,0,3.6,1.0
53,일반,2026-06,6월 3주차,10053,한준서,과장,거제조선소,기구설계팀,9.0,8.3,8.4,9.2,8.8,0.0,0.0,43.7,43.7,4.3,0,4.5,1.0
54,탄력근무제,2026-06,6월 3주차,10054,전현우,사원,판교R&D센터,구매팀,8.4,8.1,7.4,8.7,7.9,0.0,0.0,40.5,40.5,4.9,0,5.2,1.0
55,탄력근무제,2026-06,6월 3주차,10055,전동현,사원,거제조선소,기구설계팀,8.7,8.8,8.2,9.2,8.2,0.0,0.0,43.1,43.1,4.4,0,3.2,1.0
56,근태예외자,2026-06,6월 3주차,10056,강윤서,과장,판교R&D센터,경영지원팀,8.3,8.6,7.5,8.2,6.7,0.0,0.0,39.3,39.3,4.3,0,4.1,1.0
57,근태예외자,2026-06,6월 3주차,10057,윤윤서,과장,거제조선소,품질팀,8.5,8.4,8.3,8.3,7.9,0.0,0.0,41.4,41.4,4.4,0,5.1,1.0
58,일반,2026-06,6월 3주차,10058,박우진,사원,거제조선소,소나개발팀,9.7,9.4,9.8,9.9,8.7,0.0,0.0,47.5,47.5,4.6,0,2.2,1.0
59,일반,2026-06,6월 3주차,10059,홍성민,사원,거제조선소,구매팀,8.4,8.3,7.8,8.1,7.8,0.0,0.0,40.4,40.4,4.0,0,5.5,1.0
60,일반,2026-06,6월 3주차,10060,안우진,차장,판교R&D센터,Smart Vessel사업팀,8.4,9.0,8.6,8.7,8.7,0.0,0.0,43.4,43.4,4.3,0,1.8,1.0
61,일반,2026-06,6월 3주차,10061,안수아,차장,거제조선소,경영지원팀,7.8,7.8,7.7,7.4,7.6,0.0,0.0,38.3,38.3,3.5,0,5.7,1.0
62,일반,2026-06,6월 3주차,10062,강가은,차장,판교R&D센터,구매팀,9.0,7.7,8.1,8.5,7.9,0.0,0.0,41.2,41.2,4.7,0,4.4,1.0
63,일반,2026-06,6월 3주차,10063,홍소율,과장,판교R&D센터,기구설계팀,8.4,8.4,8.1,8.5,8.9,0.0,0.0,42.3,42.3,4.9,0,3.5,1.0
64,탄력근무제,2026-06,6월 3주차,10064,박지훈,대리,거제조선소,기구설계팀,8.6,8.1,7.8,8.4,8.5,0.0,0.0,41.4,41.4,4.0,0,3.9,1.0
65,일반,2026-06,6월 3주차,10065,송우진,사원,거제조선소,해양SW2팀,8.9,8.8,8.5,9.1,9.1,0.0,0.0,44.4,44.4,4.1,0,3.3,1.0
66,일반,2026-06,6월 3주차,10066,서채원,대리,성남사업장,소나개발팀,9.8,9.5,8.8,9.4,9.0,0.0,0.0,46.5,46.5,3.6,0,1.7,1.0
67,일반,2026-06,6월 3주차,10067,전승우,과장,거제조선소,구매팀,8.1,8.3,7.6,8.9,8.2,0.0,0.0,41.1,41.1,4.0,0,4.6,1.0
68,일반,2026-06,6월 3주차,10068,서가은,대리,거제조선소,소나개발팀,9.6,10.0,9.0,8.9,9.7,0.0,0.0,47.2,47.2,3.6,0,2.1,1.0
69,일반,2026-06,6월 3주차,10069,김도윤,사원,성남사업장,소나개발팀,10.2,9.7,8.8,9.4,9.1,0.0,0.0,47.2,47.2,4.1,0,1.7,1.0
70,일반,2026-06,6월 3주차,10070,권시우,대리,거제조선소,소나개발팀,9.4,9.4,9.6,9.7,9.6,0.0,0.0,47.7,47.7,4.2,0,2.6,1.0
71,일반,2026-06,6월 3주차,10071,김가은,사원,거제조선소,구매팀,8.4,8.9,8.8,8.2,8.9,0.0,0.0,43.2,43.2,3.9,0,5.7,1.0
72,일반,2026-06,6월 3주차,10072,김소율,대리,판교R&D센터,Smart Vessel사업팀,9.7,8.8,9.5,9.0,9.4,2.5,0.0,48.9,46.4,4.8,0,1.3,1.0
73,일반,2026-06,6월 3주차,10073,조우진,사원,거제조선소,해양SW1팀,9.7,9.8,9.8,9.7,9.4,0.0,0.0,48.4,48.4,3.6,0,3.6,1.0
74,일반,2026-06,6월 3주차,10074,임하은,사원,판교R&D센터,Smart Vessel사업팀,9.0,8.2,9.2,9.0,8.4,0.0,0.0,43.8,43.8,3.9,0,2.6,1.0
75,일반,2026-06,6월 3주차,10075,박현우,과장,거제조선소,구매팀,8.4,8.3,7.9,8.1,7.2,0.0,0.0,39.9,39.9,4.2,0,5.2,1.0
76,일반,2026-06,6월 3주차,10076,최은서,사원,성남사업장,기구설계팀,8.4,9.1,9.2,9.0,9.1,0.0,0.0,44.8,44.8,3.8,0,5.1,1.0
77,일반,2026-06,6월 3주차,10077,홍시우,대리,판교R&D센터,구매팀,8.3,8.4,7.6,8.6,8.0,0.0,0.0,40.9,40.9,4.8,0,4.2,1.0
78,일반,2026-06,6월 3주차,10078,권성민,대리,성남사업장,구매팀,7.9,8.1,8.0,7.9,7.5,0.0,0.0,39.4,39.4,3.7,0,3.7,1.0
79,탄력근무제,2026-06,6월 3주차,10079,황우진,대리,판교R&D센터,기구설계팀,7.6,8.0,8.8,8.7,8.8,0.0,0.0,41.9,41.9,4.8,0,3.8,1.0
80,일반,2026-06,6월 3주차,10080,권소율,사원,판교R&D센터,해양SW2팀,8.3,8.8,8.6,8.8,9.1,0.0,0.0,43.6,43.6,4.5,0,3.3,1.0
81,탄력근무제,2026-06,6월 3주차,10081,강채원,과장,거제조선소,품질팀,7.5,8.8,8.2,8.1,7.9,0.0,0.0,40.5,40.5,4.7,0,4.1,1.0
82,일반,2026-06,6월 3주차,10082,조도윤,대리,판교R&D센터,기구설계팀,8.6,9.0,7.8,8.0,7.4,0.0,0.0,40.8,40.8,4.6,0,3.9,1.0
83,일반,2026-06,6월 3주차,10083,황우진,과장,판교R&D센터,해양SW2팀,8.8,9.8,9.0,9.0,8.2,0.0,0.0,44.8,44.8,4.3,0,2.6,1.0
84,일반,2026-06,6월 3주차,10084,황수아,사원,거제조선소,해양SW2팀,9.3,9.7,9.2,9.6,9.3,0.0,0.0,47.1,47.1,4.3,0,3.6,1.0
85,일반,2026-06,6월 3주차,10085,임지민,과장,거제조선소,품질팀,8.7,9.1,8.3,8.4,8.4,0.0,0.0,42.9,42.9,4.1,0,4.5,1.0
86,일반,2026-06,6월 3주차,10086,장가은,대리,거제조선소,해양SW1팀,9.2,8.4,9.8,9.1,8.9,0.0,0.0,45.4,45.4,4.9,0,3.5,1.0
87,일반,2026-06,6월 3주차,10087,오유진,과장,판교R&D센터,Smart Vessel사업팀,8.8,9.1,9.4,8.9,9.3,1.2,0.0,46.7,45.5,4.7,0,2.2,1.0
88,일반,2026-06,6월 3주차,10088,정동현,사원,성남사업장,소나개발팀,9.7,9.9,10.2,10.0,10.5,0.0,0.0,50.3,50.3,5.0,0,2.7,1.0
89,일반,2026-06,6월 3주차,10089,강서연,차장,거제조선소,기구설계팀,8.3,8.5,8.9,9.2,8.6,0.0,0.0,43.5,43.5,4.6,0,4.1,1.0
90,일반,2026-06,6월 3주차,10090,홍윤서,사원,거제조선소,Smart Vessel사업팀,9.7,9.8,8.5,8.8,9.2,0.0,0.0,46.0,46.0,4.4,0,1.5,1.0
91,일반,2026-06,6월 3주차,10091,송태윤,과장,거제조선소,기구설계팀,10.3,8.7,9.4,8.4,8.0,0.0,0.0,44.8,44.8,4.2,0,3.9,1.0
92,일반,2026-06,6월 3주차,10092,류다은,과장,거제조선소,구매팀,7.9,8.1,8.5,8.0,8.8,0.0,0.0,41.3,41.3,3.8,0,4.6,1.0
93,일반,2026-06,6월 3주차,10093,조지민,과장,성남사업장,Smart Vessel사업팀,9.5,9.6,10.0,8.8,9.1,0.0,0.0,47.0,47.0,4.2,0,1.4,1.0
94,일반,2026-06,6월 3주차,10094,전채원,사원,거제조선소,Smart Vessel사업팀,9.4,9.6,9.0,9.2,8.6,0.0,0.0,45.8,45.8,4.0,0,1.7,1.0
95,일반,2026-06,6월 3주차,10095,장은서,과장,거제조선소,경영지원팀,8.0,7.6,7.2,8.4,8.0,0.0,0.0,39.2,39.2,4.3,0,4.4,1.0
96,일반,2026-06,6월 3주차,10096,홍지훈,차장,거제조선소,해양SW2팀,9.5,8.5,9.3,9.1,8.6,0.0,0.0,45.0,45.0,4.8,0,4.3,1.0
97,일반,2026-06,6월 3주차,10097,류다인,사원,판교R&D센터,해양SW1팀,9.1,9.3,9.3,8.7,9.4,0.0,0.0,45.8,45.8,3.7,0,2.0,1.0
98,일반,2026-06,6월 3주차,10098,황우진,과장,성남사업장,구매팀,7.7,7.6,7.6,7.6,7.6,0.0,0.0,38.1,38.1,4.5,0,3.3,1.0
99,일반,2026-06,6월 3주차,10099,윤윤서,대리,판교R&D센터,품질팀,7.9,9.1,9.5,9.8,7.9,0.0,0.0,44.2,44.2,3.7,0,5.1,1.0
100,일반,2026-06,6월 3주차,10100,강채원,부장,판교R&D센터,기구설계팀,9.8,8.7,8.8,8.0,9.8,0.0,0.0,45.1,45.1,4.2,0,3.5,1.0
101,일반,2026-06,6월 3주차,10101,박채원,사원,판교R&D센터,구매팀,8.2,7.6,8.6,8.8,8.2,0.0,0.0,41.4,41.4,4.1,0,4.0,1.0
102,일반,2026-06,6월 3주차,10102,임윤서,과장,거제조선소,해양SW1팀,9.2,10.0,9.4,9.3,8.3,0.0,0.0,46.2,46.2,4.3,0,3.0,1.0
103,일반,2026-06,6월 3주차,10103,최태윤,과장,거제조선소,경영지원팀,8.7,8.0,8.1,8.9,7.9,0.0,0.0,41.6,41.6,3.6,0,4.1,1.0
104,일반,2026-06,6월 3주차,10104,오나윤,부장,거제조선소,경영지원팀,8.4,8.7,8.0,7.7,8.1,0.0,0.0,40.9,40.9,3.7,0,6.1,1.0
105,일반,2026-06,6월 3주차,10105,임우진,과장,거제조선소,해양SW2팀,8.4,9.2,9.7,10.0,9.2,0.0,0.0,46.5,46.5,3.8,0,2.9,1.0
106,일반,2026-06,6월 3주차,10106,김수아,사원,판교R&D센터,해양SW2팀,8.8,8.7,8.9,8.7,8.1,0.0,0.0,43.2,43.2,4.7,0,3.0,1.0
107,일반,2026-06,6월 3주차,10107,정채원,차장,거제조선소,Smart Vessel사업팀,9.5,9.5,10.3,10.1,9.8,0.0,0.0,49.2,49.2,3.9,0,2.0,1.0
108,근태예외자,2026-06,6월 3주차,10108,윤우진,과장,판교R&D센터,구매팀,8.3,8.5,8.9,8.8,8.3,0.0,0.0,42.8,42.8,3.7,0,4.3,1.0
109,일반,2026-06,6월 3주차,10109,신시우,부장,성남사업장,해양SW1팀,8.9,8.9,8.6,9.9,8.8,0.0,0.0,45.1,45.1,4.2,0,3.2,1.0
110,탄력근무제,2026-06,6월 3주차,10110,류윤서,차장,판교R&D센터,기구설계팀,8.6,8.8,7.8,9.1,8.6,0.0,0.0,42.9,42.9,4.3,0,3.8,1.0
111,일반,2026-06,6월 3주차,10111,서우진,대리,거제조선소,품질팀,8.5,8.2,8.7,8.8,8.9,0.0,0.0,43.1,43.1,4.9,0,5.4,1.0
112,일반,2026-06,6월 3주차,10112,신서연,부장,판교R&D센터,해양SW2팀,9.0,9.5,9.2,9.4,8.5,0.0,0.0,45.6,45.6,3.9,0,2.8,1.0
113,일반,2026-06,6월 3주차,10113,홍지훈,부장,거제조선소,구매팀,8.6,7.4,8.5,7.9,8.0,0.0,0.0,40.4,40.4,4.8,0,2.8,1.0
114,탄력근무제,2026-06,6월 3주차,10114,권하은,대리,성남사업장,품질팀,8.0,8.9,9.0,8.0,9.3,0.0,0.0,43.2,43.2,4.6,0,3.9,1.0
115,근태예외자,2026-06,6월 3주차,10115,박채원,과장,성남사업장,구매팀,8.3,8.6,8.0,8.7,8.8,0.0,0.0,42.4,42.4,4.2,0,3.9,1.0
116,탄력근무제,2026-06,6월 3주차,10116,송준서,과장,판교R&D센터,구매팀,7.9,8.7,8.3,9.0,9.1,0.0,0.0,43.0,43.0,3.7,0,5.5,1.0
117,일반,2026-06,6월 3주차,10117,박소율,차장,성남사업장,경영지원팀,7.5,8.2,7.6,8.4,8.2,0.0,0.0,39.9,39.9,4.6,0,6.3,1.0
118,일반,2026-06,6월 3주차,10118,홍성민,부장,거제조선소,Smart Vessel사업팀,9.0,9.1,9.6,9.9,9.3,0.0,0.0,46.9,46.9,3.5,0,2.3,1.0
119,탄력근무제,2026-06,6월 3주차,10119,임예린,과장,거제조선소,소나개발팀,8.8,9.5,9.5,9.3,10.5,0.0,0.0,47.6,47.6,4.4,0,1.7,1.0
120,일반,2026-06,6월 3주차,10120,서나윤,대리,거제조선소,해양SW1팀,9.0,9.2,8.7,8.9,8.7,0.0,0.0,44.5,44.5,4.8,0,3.1,1.0
121,일반,2026-06,6월 3주차,10121,장윤서,과장,거제조선소,해양SW2팀,9.7,8.7,8.1,8.6,8.4,0.0,0.0,43.5,43.5,4.0,0,3.5,1.0
122,탄력근무제,2026-06,6월 3주차,10122,류하윤,부장,거제조선소,해양SW1팀,9.2,8.7,9.2,8.6,9.8,0.0,0.0,45.5,45.5,4.4,0,2.4,1.0
123,일반,2026-06,6월 3주차,10123,황하은,사원,거제조선소,기구설계팀,8.1,8.5,9.2,8.4,8.9,2.9,0.0,46.0,43.1,4.7,0,5.1,1.0
124,탄력근무제,2026-06,6월 3주차,10124,서지민,과장,거제조선소,기구설계팀,8.4,7.7,7.6,7.7,8.1,0.0,0.0,39.5,39.5,4.7,0,4.7,1.0
125,일반,2026-06,6월 3주차,10125,임태윤,차장,성남사업장,소나개발팀,10.1,9.5,9.9,9.2,9.7,0.0,0.0,48.4,48.4,4.5,0,2.1,1.0
126,일반,2026-06,6월 3주차,10126,정동현,대리,판교R&D센터,해양SW2팀,8.3,8.3,9.2,8.9,8.2,0.0,0.0,42.9,42.9,4.8,0,3.5,1.0
127,일반,2026-06,6월 3주차,10127,정도윤,사원,거제조선소,경영지원팀,8.6,7.6,8.0,8.5,8.4,0.0,0.0,41.1,41.1,4.7,0,4.1,1.0
128,일반,2026-06,6월 3주차,10128,오건우,대리,거제조선소,해양SW2팀,9.2,8.6,9.6,9.6,9.1,0.0,0.0,46.1,46.1,4.8,0,3.1,1.0
129,일반,2026-06,6월 3주차,10129,한은서,사원,성남사업장,경영지원팀,7.4,7.5,7.9,7.8,7.8,0.0,0.0,38.4,38.4,4.9,0,5.9,1.0
130,일반,2026-06,6월 3주차,10130,서서윤,사원,성남사업장,해양SW2팀,8.6,9.7,8.8,9.5,9.9,0.0,0.0,46.5,46.5,4.4,0,3.1,1.0
131,일반,2026-06,6월 3주차,10131,오윤서,차장,거제조선소,소나개발팀,10.1,9.5,9.3,9.4,9.8,0.0,0.0,48.1,48.1,4.7,0,1.7,1.0
132,일반,2026-06,6월 3주차,10132,김나윤,대리,거제조선소,품질팀,9.1,7.9,8.1,7.8,8.6,0.0,0.0,41.5,41.5,4.6,0,4.2,1.0
133,일반,2026-06,6월 3주차,10133,권다인,부장,판교R&D센터,해양SW2팀,9.1,9.4,8.9,8.4,9.3,0.0,0.0,45.1,45.1,3.8,0,3.8,1.0
134,일반,2026-06,6월 3주차,10134,황하은,사원,성남사업장,소나개발팀,9.3,8.9,8.9,9.4,8.8,0.0,0.0,45.3,45.3,4.6,0,3.2,1.0
135,탄력근무제,2026-06,6월 3주차,10135,송다은,사원,거제조선소,경영지원팀,8.5,7.8,8.4,7.8,8.3,0.0,0.0,40.8,40.8,3.6,0,4.8,1.0
136,일반,2026-06,6월 3주차,10136,장서연,차장,판교R&D센터,Smart Vessel사업팀,9.5,9.7,8.2,9.4,9.2,0.0,0.0,46.0,46.0,3.8,0,1.6,1.0
137,일반,2026-06,6월 3주차,10137,오수아,대리,성남사업장,해양SW2팀,8.9,9.6,8.7,8.7,8.9,0.0,0.0,44.8,44.8,4.3,0,4.1,1.0
138,일반,2026-06,6월 3주차,10138,권도윤,사원,거제조선소,기구설계팀,8.6,8.5,8.1,9.2,8.9,0.0,0.0,43.3,43.3,4.5,0,4.9,1.0
139,일반,2026-06,6월 3주차,10139,정은서,과장,거제조선소,소나개발팀,10.4,9.9,10.0,10.6,10.0,0.0,0.0,50.9,50.9,4.6,0,1.6,1.0
140,탄력근무제,2026-06,6월 3주차,10140,윤시우,차장,판교R&D센터,해양SW2팀,8.7,8.5,8.7,9.4,9.8,0.0,0.0,45.1,45.1,5.0,0,3.3,1.0
141,일반,2026-06,6월 3주차,10141,정수아,과장,성남사업장,기구설계팀,9.2,8.3,8.6,8.6,8.4,0.0,0.0,43.1,43.1,3.5,0,3.3,1.0
142,일반,2026-06,6월 3주차,10142,윤현우,과장,거제조선소,소나개발팀,9.9,9.7,9.5,10.1,9.3,0.0,0.0,48.5,48.5,4.8,0,1.7,1.0
143,일반,2026-06,6월 3주차,10143,황우진,사원,거제조선소,구매팀,8.6,7.9,9.0,8.7,7.3,0.0,0.0,41.5,41.5,3.7,0,4.5,1.0
144,일반,2026-06,6월 3주차,10144,안하윤,사원,성남사업장,해양SW2팀,8.7,8.6,9.2,9.4,8.5,0.0,0.0,44.4,44.4,4.9,0,4.4,1.0
145,일반,2026-06,6월 3주차,10145,최채원,사원,판교R&D센터,경영지원팀,7.6,8.3,8.2,7.5,8.5,0.0,0.0,40.1,40.1,4.9,0,4.2,1.0
146,일반,2026-06,6월 3주차,10146,장나윤,차장,판교R&D센터,품질팀,8.8,9.4,8.8,7.9,9.1,0.0,0.0,44.0,44.0,4.6,0,3.5,1.0
147,일반,2026-06,6월 3주차,10147,최은서,대리,거제조선소,기구설계팀,8.0,8.7,8.2,8.7,8.4,0.0,0.0,42.0,42.0,3.6,0,3.7,1.0
148,탄력근무제,2026-06,6월 3주차,10148,신시우,과장,거제조선소,해양SW2팀,9.2,9.9,9.0,8.5,9.0,0.0,0.0,45.6,45.6,3.8,0,3.6,1.0
149,일반,2026-06,6월 3주차,10149,오지훈,과장,거제조선소,품질팀,8.7,8.3,9.0,7.7,8.5,0.0,0.0,42.2,42.2,4.5,0,3.3,1.0
